Game;Players;Time;Complexity;Played;Mode;Picture;Genre;Favoritos
Broom Service;3,4,5;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/B5-ODUBlqgsmZhGX0_LYd8nokcw=/fit-in/900x600/filters:no_upscale()/pic2546156.jpg;;Fred
Bruges;2,3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/9FeLpg-y-J9fM0Vg4ZigFPmH304=/fit-in/900x600/filters:no_upscale()/pic1652004.jpg;;
Bunny Kingdom;3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/OnE89vS6P5H49HZo0Z3JSePQIDg=/fit-in/900x600/filters:no_upscale()/pic3613444.jpg;;Fred, Vivi, Steve
The Butterfly Garden;4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/N_bdkrzbY1nh37ET8Xaz6oaAneE=/fit-in/900x600/filters:no_upscale()/pic3142367.jpg;;
Ca$h 'n Guns (Second Edition);5,6,7,8;Short;Super Casual;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/7HWmOHxhf5E5j_HTxb66QFky9B4=/fit-in/900x600/filters:no_upscale()/pic2907864.jpg;;
Camel Up;4,5,6;Short;Super Casual;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/d0qK4R5DzOB3Vyh79k0BB36kNfk=/fit-in/900x600/filters:no_upscale()/pic2031446.png;;Vivi
Captain Sonar;6,8;Quick;Casual;Yes;Team-Based;https://cf.geekdo-images.com/imagepage/img/eBQsy-K267ZgE_fNmxsbNDKUhng=/fit-in/900x600/filters:no_upscale()/pic3013621.png;;
Carcassonne;2,3,4,5;Short;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/S_XL1k0RNpwuTOEZ1qTs7c8DjkE=/fit-in/900x600/filters:no_upscale()/pic1774274.jpg;;
Castell;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/WeJdxiIceKe7IoC_w65OiWccJKo=/fit-in/900x600/filters:no_upscale()/pic3984592.png;;
The Castles of Burgundy;2,3;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/_4By2Q78BdjTkK3g3YFwBoL4JbI=/fit-in/900x600/filters:no_upscale()/pic1176894.jpg;;
The Castles of Burgundy: The Card Game;2,3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/Z16R0R2w8fwCE3SQS30eVHIRh2k=/fit-in/900x600/filters:no_upscale()/pic2844943.jpg;;
Castles of Mad King Ludwig;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/mO6F85B3br3WtNKTNSk1SEjOYN4=/fit-in/900x600/filters:no_upscale()/pic1961827.jpg;;
Catacombs & Castles;2,4;;;No;Team-Based;https://cf.geekdo-images.com/imagepage/img/Kj-1deugSVx-CbcQDrMro4-kGd4=/fit-in/900x600/filters:no_upscale()/pic3478320.jpg;;
Caverna: Cave vs Cave;2;Quick;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/ftz9Dv93Kbym7-rbkqT4R90782k=/fit-in/900x600/filters:no_upscale()/pic3505750.jpg;;Vivi
Caverna: The Cave Farmers;2,3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/EJEPrFsGdEwpi5gZqjB5UX6bbOI=/fit-in/900x600/filters:no_upscale()/pic1790789.jpg;;
Celestia;4,5,6;Short;Super Casual;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/eHGT0BNj7JbWL87oAqbtdO7bnpw=/fit-in/900x600/filters:no_upscale()/pic2577990.jpg;;
Century: Golem Edition;2,3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/9AVR5irENfCgNxiXkAE6qvAOv9Q=/fit-in/900x600/filters:no_upscale()/pic3936124.jpg;;
Champions of Midgard;3,4;Long;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/-0C2hyRukt2cW3Yfi2pM3MwUvPA=/fit-in/900x600/filters:no_upscale()/pic2869714.jpg;;Steve
Chimera Station;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/J26l7XbACpopb_cO18ckzXhmYJE=/fit-in/900x600/filters:no_upscale()/pic3160959.jpg;;
City of Iron: Second Edition;2,3;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/jb0WUm_2LdfsFFP30hzPgfaoQpY=/fit-in/900x600/filters:no_upscale()/pic2627609.jpg;;
Clank!: A Deck-Building Adventure;2,3,4;Short;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/NN7XQ4STNFxORWup9BH8KJrsDPw=/fit-in/900x600/filters:no_upscale()/pic3056966.jpg;;Steve, Stephen, Vivi
Clans of Caledonia;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/Hq7JR4uJYZsqHdFJMf-M1mhLYwU=/fit-in/900x600/filters:no_upscale()/pic3511783.png;;
Claustrophobia;2;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/DeFRKawRE-pRoU5VLxBRpvU8k34=/fit-in/900x600/filters:no_upscale()/pic570518.jpg;;
Codenames;4,6,8;Quick;Super Casual;Yes;Team-Based;https://cf.geekdo-images.com/imagepage/img/BwJJTrofiaH0Muxuo5rv0VCmuCY=/fit-in/900x600/filters:no_upscale()/pic2582929.jpg;;
Coloretto;3,4,5;Quick;Super Casual;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/qdazEpOoSo7kghQOxbDY2ZyGYqM=/fit-in/900x600/filters:no_upscale()/pic149765.jpg;;
Colosseum;4,5;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/RnD1VU3vvdx6E-2GNSC0o9FcIaA=/fit-in/900x600/filters:no_upscale()/pic2729904.jpg;;
Colt Express;4,5,6;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/5XX6EXK-piFYSPswkoH03EOIDCo=/fit-in/900x600/filters:no_upscale()/pic2869710.jpg;;
Concordia;3,4;Long;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/RGEIRpbvMY1wk3oo7W5YxRluPO8=/fit-in/900x600/filters:no_upscale()/pic3453267.jpg;;Fred
Cottage Garden;2,3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/zRS6rxakRsmc2cczo1IinKATgEU=/fit-in/900x600/filters:no_upscale()/pic3499059.jpg;;Vivi
CO?;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/lsH2xtZWyD25v81G5ERAPrbHN3o=/fit-in/900x600/filters:no_upscale()/pic1350204.jpg;;
Cry Havoc;3,4;Long;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/4rVEvQAnhDPY0QxCXBLGoJlUpmo=/fit-in/900x600/filters:no_upscale()/pic3090929.jpg;;
Dale of Merchants;2,3;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/wM636UKMM1juiJ0bLX38CDvTNQU=/fit-in/900x600/filters:no_upscale()/pic2772192.jpg;;
Dead Man's Draw;2,3,4;Filler;Super Casual;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/45vMTpG2G4UzOmkxLAAviD3DO2k=/fit-in/900x600/filters:no_upscale()/pic2923119.jpg;;
Dead Men Tell No Tales;3,4;;;Yes;Cooperative;https://cf.geekdo-images.com/imagepage/img/gKX4dKajEAbXrSRPHiA9w0OkRN0=/fit-in/900x600/filters:no_upscale()/pic2545662.jpg;;
Dead of Winter: A Crossroads Game;4,5;Long;;Yes;Traitor-Based;https://cf.geekdo-images.com/imagepage/img/IoC3kSvE7fHaZV868Mf_jbpx8r8=/fit-in/900x600/filters:no_upscale()/pic3016500.jpg;;
Dead of Winter: The Long Night;4,5;Long;;No;Traitor-Based;https://cf.geekdo-images.com/imagepage/img/LEHV-c1jfnNq6ZucA8gxu2JN4Ug=/fit-in/900x600/filters:no_upscale()/pic2906832.jpg;;
Deception: Murder in Hong Kong;6,7,8,9;Short;;Yes;Traitor-Based;https://cf.geekdo-images.com/imagepage/img/I_4F05ou295lHPqmD-h0PFGpcuw=/fit-in/900x600/filters:no_upscale()/pic2568916.jpg;;
