Game;Players;Time;Complexity;Played;Mode;Picture;Genre;Favoritos
Mafia de Cuba;7,8,9,10,11,12;Quick;;Yes;Team-based, Traitor-based;https://cf.geekdo-images.com/imagepage/img/qKwxEiv-3Cs6OaKPO-FK7p7rz-U=/fit-in/900x600/filters:no_upscale()/pic2519675.jpg;;
Magic Maze;3,4;Filler;Super Casual;Yes;Cooperative;https://cf.geekdo-images.com/imagepage/img/Y_FV67hvf_gVE0SXnrVYGeznxik=/fit-in/900x600/filters:no_upscale()/pic3268473.jpg;;
The Manhattan Project: Energy Empire;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/l7h6doOeTYgjLzUUnOMJCknYlJA=/fit-in/900x600/filters:no_upscale()/pic3048617.jpg;;
Millennium Blades;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/anvOLnZkH7C7L5bkVkzNcf_f22U=/fit-in/900x600/filters:no_upscale()/pic2468179.jpg;;
Mombasa;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/_19PYpOdJ8tI37_IQOOr-HaRnUQ=/fit-in/900x600/filters:no_upscale()/pic2611318.jpg;;
Mottainai;2,3;Short;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/WtNkSQczspybQusY_oRr2YlRku0=/fit-in/900x600/filters:no_upscale()/pic2688214.jpg;;
Murano;3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/-BY1tn8NM7RvAbIezGMIurblcwI=/fit-in/900x600/filters:no_upscale()/pic2231613.jpg;;
My Village;2,3;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/DMr1Jy550_prgV73cRkBKJ264o0=/fit-in/900x600/filters:no_upscale()/pic2760567.jpg;;
Myrmes;2,3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/5ANh8jSfH-FI71sAXxaJIFKUl4I=/fit-in/900x600/filters:no_upscale()/pic1370050.jpg;;
Mythos Tales;2,3,4;;;No;Cooperative, Storytelling;https://cf.geekdo-images.com/imagepage/img/57VKjQFdhSfq0jTkM98sfUJexdE=/fit-in/900x600/filters:no_upscale()/pic3955344.png;;
Nations;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/4E7kDm7wD9XgZ4hRNC2GE5G6F1E=/fit-in/900x600/filters:no_upscale()/pic1591406.png;;
New Amsterdam;4,5;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/kLWz8X00koHNUWlKn0btDOMSYVE=/fit-in/900x600/filters:no_upscale()/pic1781109.jpg;;
New Angeles;5,6;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/hzjZrp9tmnR6UKjS8cV9I_oTsa0=/fit-in/900x600/filters:no_upscale()/pic3123155.jpg;;
New York 1901;3,4;Average;Casual;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/9gyWvMSWSPwVumQAl9nhr4_rWFY=/fit-in/900x600/filters:no_upscale()/pic2515532.jpg;;
Ninjato;3,4;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/PFUCxBlP1X-GK5tQBgRvzp1DkuU=/fit-in/900x600/filters:no_upscale()/pic967931.jpg;;
No Thanks!;4,5;Filler;Super Casual;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/sTHdua_X8WcHi7-nUXO3ZBVjr64=/fit-in/900x600/filters:no_upscale()/pic2602161.jpg;;
Notre Dame: 10th Anniversary;2,3,4,5;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/eMVx01tgdVTVpylA_6mETwpCPGY=/fit-in/900x600/filters:no_upscale()/pic3617406.jpg;;Fred
Orléans;3,4;Long;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/fHNOQSGQkAUmlBwpLDOiPUoGSyM=/fit-in/900x600/filters:no_upscale()/pic2578828.png;;
Panamax;4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/19wsydcxq-98oWffnAsLjdO3YbM=/fit-in/900x600/filters:no_upscale()/pic1786212.png;;
Pandemic: Iberia;2,3,4;Average;;Yes;Cooperative;https://cf.geekdo-images.com/imagepage/img/7_7G2e-QZcb2in79g7tS015vv4s=/fit-in/900x600/filters:no_upscale()/pic3000850.png;;
Panic Station;5,6;Average;;Yes;Traitor-Based;https://cf.geekdo-images.com/imagepage/img/aeyruHWyDjz0tIiuLgLZ_T-WEcA=/fit-in/900x600/filters:no_upscale()/pic1086190.jpg;;
Pax Renaissance;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/UFra94QqNd3nBFt0-bEdcm4P2ks=/fit-in/900x600/filters:no_upscale()/pic3009233.jpg;;
Photosynthesis;3;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/WLvj7ydpuWSob7TAFYdZzvSoIEk=/fit-in/900x600/filters:no_upscale()/pic3364832.jpg;;
The Pillars of the Earth;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/_eHW5itmKxPEdI2T0X13iOIzk4I=/fit-in/900x600/filters:no_upscale()/pic3691155.jpg;;
Power Grid: The Card Game;3,4,5;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/hbrBPNoarY22G0EEhDw-g7xPDMQ=/fit-in/900x600/filters:no_upscale()/pic3091756.jpg;;
The Princes of Florence;4,5;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/HbQLJzo7nwpvCI0GD_7KoXl5Ogs=/fit-in/900x600/filters:no_upscale()/pic1306997.jpg;;
The Prodigals Club;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/e94U7TaHyP6_0YonPugeWur9b7A=/fit-in/900x600/filters:no_upscale()/pic2684453.jpg;;
Puerto Rico;3,4,5;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/fuWLlv4q0w8Bd6rZC8PGDH-TKbA=/fit-in/900x600/filters:no_upscale()/pic158548.jpg;;
Pulsar 2849;2,3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/TfCcnWIZmx0AsSE6v6ZhvNcA6cw=/fit-in/900x600/filters:no_upscale()/pic3736981.jpg;;
Quadropolis;2,3,4;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/imtRW8htetQkrekOqgHuZSTIWhw=/fit-in/900x600/filters:no_upscale()/pic2840020.jpg;;
Quantum;3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/hgU9BWucto73tPYfoad01KYYlgY=/fit-in/900x600/filters:no_upscale()/pic1727619.jpg;;
Qwirkle;2,3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/TNEjh_vEteNAXmO8sYiO0N00Arg=/fit-in/900x600/filters:no_upscale()/pic309353.jpg;;
Race for the Galaxy;2,3,4;Short;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/s8CngMZC7S6HAC_kE3aC8oVL-Es=/fit-in/900x600/filters:no_upscale()/pic236327.jpg;;
Raiders of the North Sea;2,3,4;Long;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/JDWpDN9YS38DL9VQnND6tgsWnHk=/fit-in/900x600/filters:no_upscale()/pic3578101.jpg;;
Raptor;2;Quick;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/0bZl-tKqz8FZgUNcDVZUL8tWyRQ=/fit-in/900x600/filters:no_upscale()/pic2520016.jpg;;
Rise of Augustus;3,4,5,6;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/eoKIXlORgIG9EI8h8YZBvNX4YnA=/fit-in/900x600/filters:no_upscale()/pic3532649.jpg;;
Robinson Crusoe: Adventures on the Cursed Island;1,2,3,4;;;No;Cooperative;https://cf.geekdo-images.com/imagepage/img/AeDkxvr2Wed-Ht06tW1v9KRFBNc=/fit-in/900x600/filters:no_upscale()/pic1715554.jpg;;
Roll for the Galaxy;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/MmsnRf6uZPYdHt-6-7s_0QeMA0A=/fit-in/900x600/filters:no_upscale()/pic1473629.jpg;;
Roll Player;1,2,3,4;Short;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/0kmO2OVja6zkhEyknLHJQWQQoQE=/fit-in/900x600/filters:no_upscale()/pic2556921.jpg;;
Rum & Bones;2;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/nPrYfvr-FxAHX1S8wmQ7hvtCDkE=/fit-in/900x600/filters:no_upscale()/pic2945727.jpg;;
Samurai Spirit;3,4,5,6,7;Short;;Yes;Cooperative;https://cf.geekdo-images.com/imagepage/img/IFAEMaMjycyR1pcgAc8TW2CrwGc=/fit-in/900x600/filters:no_upscale()/pic2012135.jpg;;Fred
Santa Maria;2,3;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/6frFjW57o6MjKtkwqUsye2v4EvE=/fit-in/900x600/filters:no_upscale()/pic3882016.jpg;;
Santorini;2;Quick;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/JSAOmYj34LmDeOTNTu6aHDMpcHg=/fit-in/900x600/filters:no_upscale()/pic3283110.png;;Vivi
Schotten Totten;2;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/SfnW5uJFKzpcMvy8DEByekRhUMw=/fit-in/900x600/filters:no_upscale()/pic2932872.jpg;;
Seasons;2,3;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/nKrMRAc2W-e2itPUvScJH47Nylk=/fit-in/900x600/filters:no_upscale()/pic1299390.jpg;;
Sellswords;2;Quick;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/k40DdnJuH5XkzXM596x7MP1_S4o=/fit-in/900x600/filters:no_upscale()/pic2032246.png;;
Sentient;2,3;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/7zMqKc96vSA7zezXZNEKEaUlFZQ=/fit-in/900x600/filters:no_upscale()/pic3496086.jpg;;
Shadowrun: Crossfire;2,3,4;Average;;Yes;Cooperative;https://cf.geekdo-images.com/imagepage/img/zodOHCu9qpQf6AOqwo5rSnnIEA8=/fit-in/900x600/filters:no_upscale()/pic2060466.jpg;;
Sheriff of Nottingham;4,5;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/m9_QpuWDR7W-YDURCHeIoAtYuRY=/fit-in/900x600/filters:no_upscale()/pic2075830.jpg;;
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases;1,2,3;;;No;Cooperative, Storytelling;https://cf.geekdo-images.com/imagepage/img/CA2rTB4f_s3ySQtsF1p0HOC5PzU=/fit-in/900x600/filters:no_upscale()/pic3514298.jpg;;
Shifty Eyed Spies;6,7,8;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/IfAY3s6HtxFmAGWSAld3N_llt5c=/fit-in/900x600/filters:no_upscale()/pic3686323.jpg;;
Sidereal Confluence: Trading and Negotiation in the Elysian Quadrant;4,5,6,7,8,9;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/MJL5Qkm42XHMJhzw-MEOze7KMn0=/fit-in/900x600/filters:no_upscale()/pic3476762.png;;
Sleuth;4;Short;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/os0wWB8rTtzgKDwJ-qcsIVQLDHc=/fit-in/900x600/filters:no_upscale()/pic1339353.png;;Vivi
Snowdonia;2,3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/DNqsmZ5jchJtqTwCb9iNXM7uziY=/fit-in/900x600/filters:no_upscale()/pic1430858.jpg;;
Space Alert;4,5;;;No;Cooperative;https://cf.geekdo-images.com/imagepage/img/tPmutJo_Q5AkURr3NFiddzYia14=/fit-in/900x600/filters:no_upscale()/pic384313.jpg;;
Space Base;2,3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/g0qhDdAwu093tq4ALHhWu29AwK4=/fit-in/900x600/filters:no_upscale()/pic4017302.jpg;;
Space Cantina;2,3,4;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/xw7qU2eWsjpT-ZMJYNUPrNapJbU=/fit-in/900x600/filters:no_upscale()/pic3020674.jpg;;
Specter Ops;2,3,4;;;No;Team-based;https://cf.geekdo-images.com/imagepage/img/TYMhvmEXTV0V3eOL3A_HJXHQc4E=/fit-in/900x600/filters:no_upscale()/pic2486481.jpg;;
The Speicherstadt;3,4;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/29auVlUmawK7ll5Y6eYYc8mAfmw=/fit-in/900x600/filters:no_upscale()/pic686491.jpg;;
Spirit Island;2,3;Long;;Yes;Cooperative;https://cf.geekdo-images.com/imagepage/img/q_b5Jw43Tnyw3hT8l2zMKmLOPvU=/fit-in/900x600/filters:no_upscale()/pic3615739.png;;Fred
Splendor;2,3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/pUmqbocA9S9-E37EkgCHMAL_HJ0=/fit-in/900x600/filters:no_upscale()/pic1904079.jpg;;
Spoils of War;4,5;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/mEJxnpF6n6eUR4FG95eaq3IaDmk=/fit-in/900x600/filters:no_upscale()/pic3536557.jpg;;
Spot it!;3,4,5,6,7;Filler;Super Casual;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/Jxm_utjpi_iUVarZYDmHDztPR5Y=/fit-in/900x600/filters:no_upscale()/pic1203476.jpg;;
Spyfall 2;5,6,7,8,9,10;Filler;Super Casual;Yes;Team-based, Traitor-based;https://cf.geekdo-images.com/imagepage/img/hMcDAvKLDDFnyXjCjbwhNJugdY8=/fit-in/900x600/filters:no_upscale()/pic4141398.jpg;;
Star Realms;2;Quick;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/izgzrVEpcwRH19gkna9oIb4xS_c=/fit-in/900x600/filters:no_upscale()/pic1903816.jpg;;
The Staufer Dynasty;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/n_tq2Mg8VyGP8b1rVZRx_NjB29E=/fit-in/900x600/filters:no_upscale()/pic2256945.png;;
Steam;3,4,5;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/7_gH2JX2Onv7Ie2sF3KL0eepLaU=/fit-in/900x600/filters:no_upscale()/pic392515.jpg;;
Steampunk Rally;3,4,5,6;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/iYwUw9duVDRufwBNneOBSylL524=/fit-in/900x600/filters:no_upscale()/pic2073821.jpg;;
Stockpile;3,4,5;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/GNPRdYvGbPXqZwJ2yXk1i-1wBPc=/fit-in/900x600/filters:no_upscale()/pic2537618.jpg;;
Stone Age;3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/javO8Hu92MR-1f01BuFPQAtFzlY=/fit-in/900x600/filters:no_upscale()/pic1632539.jpg;;Fred
Suburbia;2,3,4;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/0qWXUQ6hL3Y7XUwZCIz7hGHJQLc=/fit-in/900x600/filters:no_upscale()/pic1418335.jpg;;
Super Dungeon Explore: Forgotten King;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/UR4_oan5MOD0kfRVZ2E7xA9k7Z8=/fit-in/900x600/filters:no_upscale()/pic2755578.jpg;;
Sushi Go Party!;3,4,5,6,7;Short;Super Casual;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/9fYmmxZL39Oeb-QIku9iuITh6ek=/fit-in/900x600/filters:no_upscale()/pic3031286.jpg;;
Takenoko;2,34;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/C06AUY7ifnExVTnml96Xb2Bc7dk=/fit-in/900x600/filters:no_upscale()/pic1912529.jpg;;
Targi;2;Short;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/q0jvzH8vZPGhjk7ieaDKPXBibnA=/fit-in/900x600/filters:no_upscale()/pic3958793.jpg;;Fred
Tash-Kalar: Arena of Legends;2;Short;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/7c_C5kpbUQuEIUg1JE74DxKIhlI=/fit-in/900x600/filters:no_upscale()/pic1875045.jpg;;
Terra Mystica;3,4,5;Long;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/JS90_q_U-h5Xe9Dn2jTTky-FqOs=/fit-in/900x600/filters:no_upscale()/pic1356616.jpg;;
Terraforming Mars;2,3,4;Long;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/sgZLoyg3KKeHvyHel8tZ2TIkXRw=/fit-in/900x600/filters:no_upscale()/pic3536616.jpg;;Fred
Thebes;3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/hEW6xV1Bo_yjmxHWTKGA8tFUA9E=/fit-in/900x600/filters:no_upscale()/pic2723204.jpg;;
Through the Ages: A New Story of Civilization;2,3;Long;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/lewVt7gXhfpps_hIHU5mrP75ypY=/fit-in/900x600/filters:no_upscale()/pic2663291.jpg;;
Thunder & Lightning;2;Quick;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/57dpYxtjLhRP8dC6MH_QtwoQRzQ=/fit-in/900x600/filters:no_upscale()/pic2849820.jpg;;
Tichu;4;;;No;Team-based;https://cf.geekdo-images.com/imagepage/img/Gfi8ft4lV1hUrTQOc_mkEf9xuk0=/fit-in/900x600/filters:no_upscale()/pic169494.jpg;;
Time's Up! Deluxe;6,8,10,12;Quick;Super Casual;Yes;Team-based;https://cf.geekdo-images.com/imagepage/img/0pK65tO7AjgscnuN4NB8PXfKKdQ=/fit-in/900x600/filters:no_upscale()/pic1937569.jpg;;
Timeline: Canada;4,5,6,7,8;Quick;Super Casual;No;Competitive;https://cf.geekdo-images.com/imagepage/img/0cPLk3bVAgfxvlwkTvTZktMrKfA=/fit-in/900x600/filters:no_upscale()/pic4206812.jpg;;
Tiny Epic Quest;2,3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/JTPVtX3JiMROnU8tQgMw8QTMTXQ=/fit-in/900x600/filters:no_upscale()/pic3120755.jpg;;
Tobago;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/Nur41Xa8Jw6MYghvQRU7O0D9hAQ=/fit-in/900x600/filters:no_upscale()/pic596625.jpg;;
Tragedy Looper;4;;;Yes;Team-based;https://cf.geekdo-images.com/imagepage/img/vlSz9bCVcsCQ0pD50m2bhEPW_Lk=/fit-in/900x600/filters:no_upscale()/pic2046290.png;;
Trajan;2,3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/0CcCZ3lBr4IpCjXQ1Qgydn-BhNc=/fit-in/900x600/filters:no_upscale()/pic1054375.jpg;;
Ultimate Werewolf: Ultimate Edition;10,11,12,13,14,15,16,17,18,19,20;Short;;Yes;Team-based, Traitor-based;https://cf.geekdo-images.com/imagepage/img/AC2rHQU8fTu9DZ6TpXLU2yOXoX4=/fit-in/900x600/filters:no_upscale()/pic1849390.jpg;;
Valley of the Kings: Last Rites;2,3;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/Ipddgy4Bmw-asDAfYB9oszZ6rOE=/fit-in/900x600/filters:no_upscale()/pic3203810.jpg;;
Vast: The Crystal Caverns;3,4,5;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/d_-BA8wyApUR45GfQFcAKYulbOU=/fit-in/900x600/filters:no_upscale()/pic2962290.jpg;;
Viceroy;2,3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/cChVuqoA1qXzmL1SsMQ29ZQfRIM=/fit-in/900x600/filters:no_upscale()/pic2254354.jpg;;
Vikings;2,3;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/DrFAQ8DcJh3eLLIEZ2VMFzl18qI=/fit-in/900x600/filters:no_upscale()/pic1904581.jpg;;
Village;3,4;Long;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/apcg9SKBIpIPHk1i2HNLUxumIt8=/fit-in/900x600/filters:no_upscale()/pic2760568.jpg;;Vivi
Viticulture Essential Edition;3,4,5;Long;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/OU9wLlDb5YahgWq3Drq7xXiRQYo=/fit-in/900x600/filters:no_upscale()/pic2649952.jpg;;
The Voyages of Marco Polo;2,3,4;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/NOWYr5d24hWH3x-qIz9Odzl_GW8=/fit-in/900x600/filters:no_upscale()/pic2461346.png;;
Warhammer Quest: The Adventure Card Game;3,4;;;Yes;Cooperative;https://cf.geekdo-images.com/imagepage/img/dIRa8Os3kprrRMQRyKqRT3xgmOw=/fit-in/900x600/filters:no_upscale()/pic2625794.jpg;;
Warhammer: Diskwars;2;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/YI4UqAc8oZxkBNpf5KSdsd2KQuA=/fit-in/900x600/filters:no_upscale()/pic1854825.jpg;;
Way of the Panda;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/FNCZQRiVmkaaad2UaRHuQWHBGEQ=/fit-in/900x600/filters:no_upscale()/pic3690730.jpg;;
Welcome to the Dungeon;3,4;Short;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/xK4V70jXEW2xp_xCgmi9al2Z_lY=/fit-in/900x600/filters:no_upscale()/pic2436689.jpg;;
XenoShyft;2,3;Long;;Yes;Cooperative;https://cf.geekdo-images.com/imagepage/img/8jCxttpXIulYXfcmXiz75_VE7ek=/fit-in/900x600/filters:no_upscale()/pic2796703.jpg;;Fred
Yamataï;2,3;Long;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/5njwcdmNfLMAWwHIictuFEvxqkg=/fit-in/900x600/filters:no_upscale()/pic3357724.jpg;;
Yokohama;2,3,4;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/tnKHRcumouDDrH1SQyIZ0OTJ1V4=/fit-in/900x600/filters:no_upscale()/pic3600984.jpg;;
Yspahan;3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/HqhSUMn8vmzO39YyyWBpPoLbu9A=/fit-in/900x600/filters:no_upscale()/pic244381.jpg;;
ZÈRTZ;2;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/DGLainLUkK7c6IvmBwulZJSMJmY=/fit-in/900x600/filters:no_upscale()/pic3140639.jpg;;
ZhanGuo;2,3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/gl5K0dlm3wxSgxV_O2M6EfPmLf0=/fit-in/900x600/filters:no_upscale()/pic2242246.jpg;;
Zooloretto;3,4,5;;Casual;No;Competitive;https://cf.geekdo-images.com/imagepage/img/tEL8ZK3NlTMbGCY4m1QJQhPdZrA=/fit-in/900x600/filters:no_upscale()/pic2021685.png;;
